package_id,package_name,company_name,package_cc,package_type,package_price,detail,,,,,,,,id
INT055,2EN30-320,อินทรประกันภัย,กระบะ,อินทร 2 Plus,0,"2 Plus เบี้ย 9,000 (ชดเชยเดินทาง)รถยนต์กระบะปิคอัพ (ไม่มีDeduct ทุน 300,000)",,,,,,,,
INT056,2PN10-320,อินทรประกันภัย,กระบะ,อินทร 2 Plus,0,"2 Plus เบี้ย 6,900 รถยนต์กระบะปิคอัพ (ไม่มี Deduct (ทุน 100,000)",,,,,,,,
INT057,2PN20-320,อินทรประกันภัย,กระบะ,อินทร 2 Plus,0,"2 Plus เบี้ย 8,000 รถยนต์กระบะปิคอัพ (ไม่มี Deduct ทุน 200,000)",,,,,,,,
INT058,2PN30-320,อินทรประกันภัย,กระบะ,อินทร 2 Plus,0,"2 Plus เบี้ย 8,500 รถยนต์กระบะปิคอัพ (ไม่มี Deduct (ทุน 300,000)",,,,,,,,
INT059,3EMN50-320,อินทรประกันภัย,กระบะ,อินทร 3 Plus,0,"3 Plus Mini เบี้ย 5,500 (ชดเชยค่าเดินทาง)รถยนต์กระบะปิคอัพ (มี Deduct ทุน 50,000)",,,,,,,,
INT060,3EN10-320,อินทรประกันภัย,กระบะ,อินทร 3 Plus,0,"3 Plus เบี้ย 7,000 (ชดเชยเดินทาง)รถยนต์กระบะปิคอัพ (ไม่มีDeduct ทุน 100,000)",,,,,,,,
INT061,3EN20-320,อินทรประกันภัย,กระบะ,อินทร 3 Plus,0,"3 Plus เบี้ย 7,500 (ชดเชยเดินทาง)รถยนต์กระบะปิคอัพ (ไม่มีDeduct ทุน 200,000)",,,,,,,,
INT062,3EN30-320,อินทรประกันภัย,กระบะ,อินทร 3 Plus,0,"3 Plus เบี้ย 8,000 (ชดเชยเดินทาง)รถยนต์กระบะปิคอัพ (ไม่มีDeduct ทุน 300,000)",,,,,,,,
INT063,3KP100N-320,อินทรประกันภัย,กระบะ,อินทร 3 กันภัย,0,"อินทร 3 กันภัย รถบรรทุกไม่เกิน 4 ตัน ไม่มี Deduct (ทุน 100,000 บ.)",,,,,,,,
INT064,3MN50-320,อินทรประกันภัย,กระบะ,อินทร 3 Plus,0,"3 Plus Mini เบี้ย 4,900 รถยนต์กระบะปิคอัพ (ไม่มี Deduct ทุน 50,000)",,,,,,,,
INT065,3PN10-320,อินทรประกันภัย,กระบะ,อินทร 3 Plus,0,"3 Plus เบี้ย 6,500 รถยนต์กระบะปิคอัพ (ไม่มี Deduct ทุน 100,000)",,,,,,,,
INT066,3PN20-320,อินทรประกันภัย,กระบะ,อินทร 3 Plus,0,"3 Plus เบี้ย 7,000 รถยนต์กระบะปิคอัพ (ไม่มี Deduct ทุน 200,000)",,,,,,,,
INT067,3PN30-320,อินทรประกันภัย,กระบะ,อินทร 3 Plus,0,"3 Plus เบี้ย 7,500 รถยนต์กระบะปิคอัพ (ไม่มี Deduct ทุน 300,000)",,,,,,,,
INT068,3V06N-320,อินทรประกันภัย,กระบะ,ป.3 Special,0,Special 1 รถกระบะบรรทุก(ปิคอัพ),,,,,,,,
INT069,3V10N-320,อินทรประกันภัย,กระบะ,ป.3 Special,0,Special 2 รถกระบะบรรทุก(ปิคอัพ),,,,,,,,
INT070,3V20N-320,อินทรประกันภัย,กระบะ,ป.3 Special,0,Special 3 รถกระบะบรรทุก(ปิคอัพ),,,,,,,,
AKA001,PMC110MC5,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,ป.3 ซิลเวอร์,0,แคมเปญซิลเวอร์ ประเภท 3 รวม พรบ. รถยนต์นั่ง,,,,,,,,
